# AM1.5G global tilt photon flux derived from ASTM G-173-03 reference spectrum.
# Source: pvlib.spectrum.get_reference_spectra() (NREL ASTM G-173 mirror).
# Column 1: wavelength [nm].  Column 2: photon flux [photons/m^2/s/m].
# Conversion: Phi(lam) = E(lam) [W/m^2/nm] * 1e9 [nm/m] * lam [m] / (h*c).
# Range: 280-1500 nm at native ASTM sampling.
# wavelength_nm,spectral_flux_m-2_s-1_m-1
6.110000e+02,4.494117e+27
6.120000e+02,4.569252e+27
6.130000e+02,4.511914e+27
6.140000e+02,4.381727e+27
6.150000e+02,4.550164e+27
6.160000e+02,4.437554e+27
6.170000e+02,4.388227e+27
6.180000e+02,4.562094e+27
6.190000e+02,4.590977e+27
6.200000e+02,4.600266e+27
6.210000e+02,4.627381e+27
6.220000e+02,4.467939e+27
6.230000e+02,4.442505e+27
6.240000e+02,4.434871e+27
6.250000e+02,4.413032e+27
6.260000e+02,4.415681e+27
6.270000e+02,4.550569e+27
6.280000e+02,4.309339e+27
6.290000e+02,4.469141e+27
6.300000e+02,4.415987e+27
6.310000e+02,4.498281e+27
6.320000e+02,4.339014e+27
6.330000e+02,4.623113e+27
6.340000e+02,4.558924e+27
6.350000e+02,4.621737e+27
6.360000e+02,4.523359e+27
6.370000e+02,4.685036e+27
6.380000e+02,4.723545e+27
6.390000e+02,4.711326e+27
6.400000e+02,4.620111e+27
6.410000e+02,4.629911e+27
6.420000e+02,4.646184e+27
6.430000e+02,4.701651e+27
6.440000e+02,4.688539e+27
6.450000e+02,4.729912e+27
6.460000e+02,4.601636e+27
6.470000e+02,4.587914e+27
6.480000e+02,4.551292e+27
6.490000e+02,4.416849e+27
6.500000e+02,4.448196e+27
6.510000e+02,4.734585e+27
6.520000e+02,4.552801e+27
6.530000e+02,4.704424e+27
6.540000e+02,4.659610e+27
6.550000e+02,4.451088e+27
6.560000e+02,3.913651e+27
6.570000e+02,4.098879e+27
6.580000e+02,4.589398e+27
6.590000e+02,4.612960e+27
6.600000e+02,4.648866e+27
6.610000e+02,4.636277e+27
6.620000e+02,4.605299e+27
6.630000e+02,4.620600e+27
6.640000e+02,4.668684e+27
6.650000e+02,4.758403e+27
6.660000e+02,4.761871e+27
6.670000e+02,4.735107e+27
6.680000e+02,4.758348e+27
6.690000e+02,4.847646e+27
6.700000e+02,4.788109e+27
6.710000e+02,4.786135e+27
6.720000e+02,4.726625e+27
6.730000e+02,4.774991e+27
6.740000e+02,4.775301e+27
6.750000e+02,4.742968e+27
6.760000e+02,4.805125e+27
6.770000e+02,4.768268e+27
6.780000e+02,4.800910e+27
6.790000e+02,4.767315e+27
6.800000e+02,4.781867e+27
6.810000e+02,4.770387e+27
6.820000e+02,4.800051e+27
6.830000e+02,4.755171e+27
6.840000e+02,4.730799e+27
6.850000e+02,4.740819e+27
6.860000e+02,4.640684e+27
6.870000e+02,3.348598e+27
6.880000e+02,3.881167e+27
6.890000e+02,3.911781e+27
6.900000e+02,4.106072e+27
6.910000e+02,4.290126e+27
6.920000e+02,4.420351e+27
6.930000e+02,4.398830e+27
6.940000e+02,4.354519e+27
6.950000e+02,4.448261e+27
6.960000e+02,4.444150e+27
6.970000e+02,4.702817e+27
6.980000e+02,4.635423e+27
6.990000e+02,4.545647e+27
7.000000e+02,4.518673e+27
7.010000e+02,4.467254e+27
7.020000e+02,4.478928e+27
7.030000e+02,4.511143e+27
7.040000e+02,4.634867e+27
7.050000e+02,4.689718e+27
7.060000e+02,4.671491e+27
7.070000e+02,4.658889e+27
7.080000e+02,4.650509e+27
7.090000e+02,4.673853e+27
7.100000e+02,4.709038e+27
7.110000e+02,4.708512e+27
7.120000e+02,4.685027e+27
7.130000e+02,4.636690e+27
7.140000e+02,4.683091e+27
7.150000e+02,4.530556e+27
7.160000e+02,4.583390e+27
7.170000e+02,3.996035e+27
7.180000e+02,3.721485e+27
7.190000e+02,3.341478e+27
7.200000e+02,3.572008e+27
7.210000e+02,3.942106e+27
7.220000e+02,4.509488e+27
7.230000e+02,4.165234e+27
7.240000e+02,3.846981e+27
7.250000e+02,3.788424e+27
7.260000e+02,3.951901e+27
7.270000e+02,3.970886e+27
7.280000e+02,3.811430e+27
7.290000e+02,3.840887e+27
7.300000e+02,4.147130e+27
7.310000e+02,3.938639e+27
7.320000e+02,4.250248e+27
7.330000e+02,4.413987e+27
7.340000e+02,4.565963e+27
7.350000e+02,4.505952e+27
7.360000e+02,4.467992e+27
7.370000e+02,4.466642e+27
7.380000e+02,4.558152e+27
7.390000e+02,4.428913e+27
7.400000e+02,4.542938e+27
7.410000e+02,4.531545e+27
7.420000e+02,4.539528e+27
7.430000e+02,4.639902e+27
7.440000e+02,4.682852e+27
7.450000e+02,4.686896e+27
7.460000e+02,4.683047e+27
7.470000e+02,4.691957e+27
7.480000e+02,4.669620e+27
7.490000e+02,4.659273e+27
7.500000e+02,4.659452e+27
7.510000e+02,4.644872e+27
7.520000e+02,4.667713e+27
7.530000e+02,4.649660e+27
7.540000e+02,4.714289e+27
7.550000e+02,4.706479e+27
7.560000e+02,4.655245e+27
7.570000e+02,4.657211e+27
7.580000e+02,4.691600e+27
7.590000e+02,4.564058e+27
7.600000e+02,1.017850e+27
7.610000e+02,5.898150e+26
7.620000e+02,2.637862e+27
7.630000e+02,1.457748e+27
7.640000e+02,2.072183e+27
7.650000e+02,2.641893e+27
7.660000e+02,3.141245e+27
7.670000e+02,3.761433e+27
7.680000e+02,4.306175e+27
7.690000e+02,4.365980e+27
7.700000e+02,4.499574e+27
7.710000e+02,4.535692e+27
7.720000e+02,4.577329e+27
7.730000e+02,4.580534e+27
7.740000e+02,4.586460e+27
7.750000e+02,4.592385e+27
7.760000e+02,4.608859e+27
7.770000e+02,4.587026e+27
7.780000e+02,4.587446e+27
7.790000e+02,4.613735e+27
7.800000e+02,4.569004e+27
7.810000e+02,4.563460e+27
7.820000e+02,4.590955e+27
7.830000e+02,4.577906e+27
7.840000e+02,4.552968e+27
7.850000e+02,4.578534e+27
7.860000e+02,4.586741e+27
7.870000e+02,4.536318e+27
7.880000e+02,4.484562e+27
7.890000e+02,4.471188e+27
7.900000e+02,4.338855e+27
7.910000e+02,4.403280e+27
7.920000e+02,4.366983e+27
7.930000e+02,4.341359e+27
7.940000e+02,4.385606e+27
7.950000e+02,4.375121e+27
7.960000e+02,4.304488e+27
7.970000e+02,4.378504e+27
7.980000e+02,4.467556e+27
7.990000e+02,4.386274e+27
8.000000e+02,4.319272e+27
8.010000e+02,4.372253e+27
8.020000e+02,4.382960e+27
8.030000e+02,4.307981e+27
8.040000e+02,4.363939e+27
8.050000e+02,4.273323e+27
8.060000e+02,4.452698e+27
8.070000e+02,4.411504e+27
8.080000e+02,4.401513e+27
8.090000e+02,4.295779e+27
8.100000e+02,4.305574e+27
8.110000e+02,4.300275e+27
8.120000e+02,4.197253e+27
8.130000e+02,4.127934e+27
8.140000e+02,3.702582e+27
8.150000e+02,3.672954e+27
8.160000e+02,3.418379e+27
8.170000e+02,3.503469e+27
8.180000e+02,3.387349e+27
8.190000e+02,3.732045e+27
8.200000e+02,3.557820e+27
8.210000e+02,4.123256e+27
8.220000e+02,3.937638e+27
8.230000e+02,2.787090e+27
8.240000e+02,3.878734e+27
8.250000e+02,4.025852e+27
8.260000e+02,3.882950e+27
8.270000e+02,4.099309e+27
8.280000e+02,3.542136e+27
8.290000e+02,3.878232e+27
8.300000e+02,3.827380e+27
8.310000e+02,3.865082e+27
8.320000e+02,3.745505e+27
8.330000e+02,4.011005e+27
8.340000e+02,3.921859e+27
8.350000e+02,4.216938e+27
8.360000e+02,4.092114e+27
8.370000e+02,4.252320e+27
8.380000e+02,4.214413e+27
8.390000e+02,4.229115e+27
8.400000e+02,4.295048e+27
8.410000e+02,4.276452e+27
8.420000e+02,4.226137e+27
8.430000e+02,4.266252e+27
8.440000e+02,4.190628e+27
8.450000e+02,4.324017e+27
8.460000e+02,4.338503e+27
8.470000e+02,4.228506e+27
8.480000e+02,4.235505e+27
8.490000e+02,4.213958e+27
8.500000e+02,3.824227e+27
8.510000e+02,4.176632e+27
8.520000e+02,4.157264e+27
8.530000e+02,4.143207e+27
8.540000e+02,3.659080e+27
8.550000e+02,3.929707e+27
8.560000e+02,4.193588e+27
8.570000e+02,4.278257e+27
8.580000e+02,4.284545e+27
8.590000e+02,4.288458e+27
8.600000e+02,4.278081e+27
8.610000e+02,4.277117e+27
8.620000e+02,4.315498e+27
8.630000e+02,4.346615e+27
8.640000e+02,4.258834e+27
8.650000e+02,4.194439e+27
8.660000e+02,3.701254e+27
8.670000e+02,3.995598e+27
8.680000e+02,4.191333e+27
8.690000e+02,4.153990e+27
8.700000e+02,4.237561e+27
8.710000e+02,4.182449e+27
8.720000e+02,4.244273e+27
8.730000e+02,4.206731e+27
8.740000e+02,4.137677e+27
8.750000e+02,4.082725e+27
8.760000e+02,4.201607e+27
8.770000e+02,4.221326e+27
8.780000e+02,4.209432e+27
8.790000e+02,4.144267e+27
8.800000e+02,4.162316e+27
8.810000e+02,4.029737e+27
8.820000e+02,4.140163e+27
8.830000e+02,4.130721e+27
8.840000e+02,4.152221e+27
8.850000e+02,4.206727e+27
8.860000e+02,4.047745e+27
8.870000e+02,4.066156e+27
8.880000e+02,4.122864e+27
8.890000e+02,4.182419e+27
8.900000e+02,4.139542e+27
8.910000e+02,4.152761e+27
8.920000e+02,4.080949e+27
8.930000e+02,3.925756e+27
8.940000e+02,3.831276e+27
8.950000e+02,3.665568e+27
8.960000e+02,3.439444e+27
8.970000e+02,3.005856e+27
8.980000e+02,3.244913e+27
8.990000e+02,2.483281e+27
9.000000e+02,3.364501e+27
9.010000e+02,2.718404e+27
9.020000e+02,3.032828e+27
9.030000e+02,3.131561e+27
9.040000e+02,3.843504e+27
9.050000e+02,3.722560e+27
9.060000e+02,3.537350e+27
9.070000e+02,2.915538e+27
9.080000e+02,2.981055e+27
9.090000e+02,3.222931e+27
9.100000e+02,2.861642e+27
9.110000e+02,3.063868e+27
9.120000e+02,3.162956e+27
9.130000e+02,2.887944e+27
9.140000e+02,2.882595e+27
9.150000e+02,3.124673e+27
9.160000e+02,2.658202e+27
9.170000e+02,3.370673e+27
9.180000e+02,2.739102e+27
9.190000e+02,3.417811e+27
9.200000e+02,3.446401e+27
9.210000e+02,3.618681e+27
9.220000e+02,3.250226e+27
9.230000e+02,3.461821e+27
9.240000e+02,3.356074e+27
9.250000e+02,3.311278e+27
9.260000e+02,3.278544e+27
9.270000e+02,3.674595e+27
9.280000e+02,2.754785e+27
9.290000e+02,2.578121e+27
9.300000e+02,2.022975e+27
9.310000e+02,1.917870e+27
9.320000e+02,1.411574e+27
9.330000e+02,1.166740e+27
